UID,Fullname,Version,Insurance
326,Caroline Wilkerson,2.0,Auto-Owners Insurance
564,Lydia Beck,1.2,Travelers
415,Janie Rodriguez,2.4,Travelers
915,Francis Osborne,2.2,Allstate Corp
231,Lida Lloyd,2.2,Progressive
297,Loretta Figueroa,2.0,Progressive
324,Steve Moreno,1.5,Kemper
858,Bill Powell,2.5,USAA
312,Erik Little,4.0,Liberty Mutual
443,Jean Reese,2.7,State Farm
103,Elmer Terry,2.9,Progressive
514,David McCormick,2.7,Liberty Mutual
321,Allie Daniel,2.7,Progressive
224,Eva Holland,1.1,Kemper
690,Isabella Green,2.0,State Farm
359,Janie Hubbard,1.2,State Farm
450,Georgie Norton,2.3,USAA
026,Howard Taylor,1.0,Progressive
375,Alvin Gonzalez,4.0,State Farm
834,Jack Anderson,1.5,Progressive
494,Ian Norton,1.1,Kemper
891,Norman Burton,4.0,State Farm
566,Luke Wright,2.0,Kemper
514,Vernon McDaniel,2.4,Liberty Mutual
067,Helena Klein,2.2,Auto-Owners Insurance
592,Belle Lowe,4.0,Travelers
637,Rodney Lucas,1.0,Progressive
663,Mattie Morales,1.3,Liberty Mutual
955,Maud Erickson,3.0,USAA
486,Eva Quinn,2.4,Liberty Mutual
947,Gary Hammond,1.3,USAA
839,Elijah Walker,3.0,Allstate Corp
385,Daniel Evans,2.2,Travelers
788,Jared Nelson,1.1,Auto-Owners Insurance
209,Chad Holland,2.5,Allstate Corp
287,Jennie Massey,2.5,Liberty Mutual
639,Loretta Rodriquez,3.0,Progressive
119,Dominic Harmon,2.5,Liberty Mutual
732,Charlie Sherman,2.3,Allstate Corp
497,Milton Woods,1.1,Auto-Owners Insurance
798,Douglas Mason,2.3,State Farm
673,Alice Lyons,4.0,USAA
506,Jeff Dunn,2.4,Liberty Mutual
538,Josephine Goodman,2.5,Progressive
464,Shawn Wright,1.3,Kemper
195,Brent Hines,1.2,Travelers
686,Nellie Lee,2.1,Liberty Mutual
561,Susie Summers,2.2,USAA
351,Katharine Fisher,2.5,USAA
201,Genevieve Sullivan,1.5,Auto-Owners Insurance
