UID,Fullname,Version,Insurance
908,David McBride,3.0,Liberty Mutual
511,Michael Rios,2.9,Travelers
531,Antonio Rios,1.0,State Farm
365,Marvin Flowers,2.5,Travelers
662,Ralph Green,2.1,USAA
827,Elijah Fisher,2.3,Travelers
379,Brian Bowen,1.3,State Farm
914,Andre Mason,2.0,Liberty Mutual
485,Lora Parsons,2.1,Progressive
024,Jason McKenzie,4.0,State Farm
324,Mayme McCarthy,4.0,Auto-Owners Insurance
744,Larry Casey,2.0,State Farm
805,Erik Erickson,2.9,Liberty Mutual
401,Lewis Lucas,2.3,Auto-Owners Insurance
685,Eric Schneider,1.2,Liberty Mutual
602,Lucile Hill,1.3,Kemper
710,Brian Schneider,2.3,State Farm
587,Anthony Barton,2.7,Kemper
640,Noah Porter,2.6,Kemper
967,Peter Rhodes,2.7,Travelers
098,Dennis Gonzalez,1.0,Travelers
828,Logan Young,2.2,Kemper
062,Ethel Davidson,2.2,USAA
038,Jerome Singleton,2.1,Kemper
581,Ada Meyer,2.3,Allstate Corp
193,Amelia Robertson,2.4,Auto-Owners Insurance
928,Eugene Floyd,4.0,USAA
137,Olive Boyd,2.9,Progressive
064,Gene Moran,1.3,Allstate Corp
231,Lida Strickland,1.1,USAA
722,Andrew McCormick,2.4,USAA
122,Frances Butler,2.4,State Farm
932,Mason Richardson,2.1,Allstate Corp
163,Jeff Lewis,2.3,Liberty Mutual
930,Aaron McCoy,1.1,State Farm
933,Jerry Butler,2.9,State Farm
698,Leona Webb,2.3,USAA
200,Chris Valdez,3.0,Liberty Mutual
557,Tom Norton,4.0,State Farm
855,Alma West,2.3,Liberty Mutual
134,Max Barker,1.5,USAA
023,Ruth Conner,1.3,Allstate Corp
195,Dale Oliver,1.2,Allstate Corp
758,Eugenia Reyes,2.4,USAA
136,Chase Thornton,2.5,Kemper
065,Mina Ray,2.1,Allstate Corp
942,Landon Schultz,2.3,Progressive
209,Rose Perry,2.1,Kemper
668,Hattie Vaughn,1.2,USAA
323,Mable Chapman,1.1,Travelers
065,Louisa Lynch,2.5,Allstate Corp
788,Caroline Clayton,1.0,Liberty Mutual
641,Nancy Cobb,2.6,Auto-Owners Insurance
237,Ethan Francis,4.0,Auto-Owners Insurance
595,Eugenia Ortega,2.0,State Farm
783,David Bryan,2.2,Progressive
562,Kenneth Marsh,3.0,Travelers
